customer_id,link_cliente,link_analise_documento,data_criacao,natureza_juridica,segmento_comercial,conta_ativa_90_dias,saldo
6245785,https://www.asaas.com/customerAdminConsole/show/6245785,https://www.asaas.com/documentAnalysis/show/6245785,2025-05-29T10:40:14.000-03:00,MEI,Empreendedor,Inativo,-0.55
4210863,https://www.asaas.com/customerAdminConsole/show/4210863,https://www.asaas.com/documentAnalysis/show/4210863,2024-07-06T12:16:23.000-03:00,Associação,Empreendedor,Inativo,0.00
820783,https://www.asaas.com/customerAdminConsole/show/820783,https://www.asaas.com/documentAnalysis/show/820783,2020-11-18T06:50:47.000-03:00,Limitada,Empreendedor,Inativo,557.80
6615752,https://www.asaas.com/customerAdminConsole/show/6615752,https://www.asaas.com/documentAnalysis/show/6615752,2025-10-15T13:39:08.000-03:00,Associação,Empreendedor,Inativo,-0.55
6770344,https://www.asaas.com/customerAdminConsole/show/6770344,https://www.asaas.com/documentAnalysis/show/6770344,2025-12-05T15:28:36.000-03:00,Limitada,Empreendedor,Ativo,-2472.32
3136477,https://www.asaas.com/customerAdminConsole/show/3136477,https://www.asaas.com/documentAnalysis/show/3136477,2023-10-03T18:15:37.000-03:00,Limitada,Empreendedor,Inativo,0.00
1134082,https://www.asaas.com/customerAdminConsole/show/1134082,https://www.asaas.com/documentAnalysis/show/1134082,2021-10-15T14:33:07.000-03:00,Limitada,Corporativo,Inativo,204.38
6498844,https://www.asaas.com/customerAdminConsole/show/6498844,https://www.asaas.com/documentAnalysis/show/6498844,2025-09-04T16:46:56.000-03:00,MEI,Empreendedor,Inativo,-0.55
6335639,https://www.asaas.com/customerAdminConsole/show/6335639,https://www.asaas.com/documentAnalysis/show/6335639,2025-07-05T15:25:59.000-03:00,Limitada,Empreendedor,Inativo,-6.60
1470340,https://www.asaas.com/customerAdminConsole/show/1470340,https://www.asaas.com/documentAnalysis/show/1470340,2022-05-26T10:28:22.000-03:00,Limitada,Empreendedor,Inativo,0.00
6002866,https://www.asaas.com/customerAdminConsole/show/6002866,https://www.asaas.com/documentAnalysis/show/6002866,2025-04-17T13:25:59.000-03:00,Fisica,Empreendedor,Inativo,-2.75
4077625,https://www.asaas.com/customerAdminConsole/show/4077625,https://www.asaas.com/documentAnalysis/show/4077625,2024-05-24T14:57:02.000-03:00,MEI,Empreendedor,Inativo,0.00
2939396,https://www.asaas.com/customerAdminConsole/show/2939396,https://www.asaas.com/documentAnalysis/show/2939396,2023-08-22T11:29:50.000-03:00,Individual,Empreendedor,Inativo,0.00
5992090,https://www.asaas.com/customerAdminConsole/show/5992090,https://www.asaas.com/documentAnalysis/show/5992090,2025-04-15T17:48:24.000-03:00,Fisica,Empreendedor,Inativo,-6.76
1446279,https://www.asaas.com/customerAdminConsole/show/1446279,https://www.asaas.com/documentAnalysis/show/1446279,2022-05-13T11:24:16.000-03:00,Fisica,Empreendedor,Inativo,0.00
2563729,https://www.asaas.com/customerAdminConsole/show/2563729,https://www.asaas.com/documentAnalysis/show/2563729,2023-05-06T10:51:41.000-03:00,Fisica,Empreendedor,Inativo,0.00
6398820,https://www.asaas.com/customerAdminConsole/show/6398820,https://www.asaas.com/documentAnalysis/show/6398820,2025-07-30T23:24:33.000-03:00,MEI,Empreendedor,Inativo,-3.85
795155,https://www.asaas.com/customerAdminConsole/show/795155,https://www.asaas.com/documentAnalysis/show/795155,2020-10-08T16:45:53.000-03:00,Fisica,Corporativo,Inativo,0.00
6337638,https://www.asaas.com/customerAdminConsole/show/6337638,https://www.asaas.com/documentAnalysis/show/6337638,2025-07-06T19:54:25.000-03:00,Fisica,Empreendedor,Inativo,-3.30
1896008,https://www.asaas.com/customerAdminConsole/show/1896008,https://www.asaas.com/documentAnalysis/show/1896008,2022-11-10T15:59:32.000-03:00,Fisica,Corporativo,Inativo,0.00
5571538,https://www.asaas.com/customerAdminConsole/show/5571538,https://www.asaas.com/documentAnalysis/show/5571538,2025-02-05T16:53:40.000-03:00,Fisica,Empreendedor,Inativo,0.00
5663461,https://www.asaas.com/customerAdminConsole/show/5663461,https://www.asaas.com/documentAnalysis/show/5663461,2025-02-20T10:37:42.000-03:00,MEI,Empreendedor,Inativo,-4.84
1902157,https://www.asaas.com/customerAdminConsole/show/1902157,https://www.asaas.com/documentAnalysis/show/1902157,2022-11-13T20:08:30.000-03:00,Fisica,Empreendedor,Inativo,0.00
2401916,https://www.asaas.com/customerAdminConsole/show/2401916,https://www.asaas.com/documentAnalysis/show/2401916,2023-03-15T22:23:01.000-03:00,Fisica,Empreendedor,Inativo,0.00
4774164,https://www.asaas.com/customerAdminConsole/show/4774164,https://www.asaas.com/documentAnalysis/show/4774164,2024-10-08T15:57:58.000-03:00,MEI,Empreendedor,Inativo,0.00
6038611,https://www.asaas.com/customerAdminConsole/show/6038611,https://www.asaas.com/documentAnalysis/show/6038611,2025-04-24T14:31:12.000-03:00,Limitada,Empreendedor,Inativo,47.09
6530908,https://www.asaas.com/customerAdminConsole/show/6530908,https://www.asaas.com/documentAnalysis/show/6530908,2025-09-15T13:29:36.000-03:00,MEI,Empreendedor,Inativo,-1.54
5685256,https://www.asaas.com/customerAdminConsole/show/5685256,https://www.asaas.com/documentAnalysis/show/5685256,2025-02-24T13:16:24.000-03:00,Fisica,Empreendedor,Inativo,-2.20
3929833,https://www.asaas.com/customerAdminConsole/show/3929833,https://www.asaas.com/documentAnalysis/show/3929833,2024-04-23T22:13:27.000-03:00,MEI,Empreendedor,Inativo,0.00
4113603,https://www.asaas.com/customerAdminConsole/show/4113603,https://www.asaas.com/documentAnalysis/show/4113603,2024-06-06T21:19:43.000-03:00,Fisica,Empreendedor,Inativo,0.00
6879676,https://www.asaas.com/customerAdminConsole/show/6879676,https://www.asaas.com/documentAnalysis/show/6879676,2026-01-12T13:42:59.000-03:00,MEI,Empreendedor,Ativo,-1.10
6346933,https://www.asaas.com/customerAdminConsole/show/6346933,https://www.asaas.com/documentAnalysis/show/6346933,2025-07-10T10:30:46.000-03:00,Fisica,Empreendedor,Inativo,-1.65
6288405,https://www.asaas.com/customerAdminConsole/show/6288405,https://www.asaas.com/documentAnalysis/show/6288405,2025-06-16T19:39:58.000-03:00,MEI,Empreendedor,Inativo,0.00
6248748,https://www.asaas.com/customerAdminConsole/show/6248748,https://www.asaas.com/documentAnalysis/show/6248748,2025-05-30T11:07:36.000-03:00,Fisica,Empreendedor,Inativo,0.00
2363784,https://www.asaas.com/customerAdminConsole/show/2363784,https://www.asaas.com/documentAnalysis/show/2363784,2023-03-03T08:47:05.000-03:00,Fisica,Empreendedor,Inativo,0.00
4689738,https://www.asaas.com/customerAdminConsole/show/4689738,https://www.asaas.com/documentAnalysis/show/4689738,2024-09-25T19:05:41.000-03:00,Fisica,Empreendedor,Inativo,0.00
1260701,https://www.asaas.com/customerAdminConsole/show/1260701,https://www.asaas.com/documentAnalysis/show/1260701,2022-02-01T00:00:00.000-03:00,Limitada,Empreendedor,Inativo,0.00
5410973,https://www.asaas.com/customerAdminConsole/show/5410973,https://www.asaas.com/documentAnalysis/show/5410973,2025-01-11T10:55:10.000-03:00,Fisica,Empreendedor,Inativo,0.00
2426682,https://www.asaas.com/customerAdminConsole/show/2426682,https://www.asaas.com/documentAnalysis/show/2426682,2023-03-25T14:47:24.000-03:00,Fisica,Empreendedor,Inativo,0.00
6251976,https://www.asaas.com/customerAdminConsole/show/6251976,https://www.asaas.com/documentAnalysis/show/6251976,2025-05-31T15:33:55.000-03:00,MEI,Empreendedor,Inativo,0.70
6613061,https://www.asaas.com/customerAdminConsole/show/6613061,https://www.asaas.com/documentAnalysis/show/6613061,2025-10-14T15:50:58.000-03:00,MEI,Empreendedor,Inativo,-2.75
6517145,https://www.asaas.com/customerAdminConsole/show/6517145,https://www.asaas.com/documentAnalysis/show/6517145,2025-09-10T15:58:01.000-03:00,Fisica,Empreendedor,Ativo,0.00
5145862,https://www.asaas.com/customerAdminConsole/show/5145862,https://www.asaas.com/documentAnalysis/show/5145862,2024-11-30T07:34:18.000-03:00,MEI,Negócios,Inativo,0.00
6707108,https://www.asaas.com/customerAdminConsole/show/6707108,https://www.asaas.com/documentAnalysis/show/6707108,2025-11-15T06:48:15.000-03:00,Fisica,Empreendedor,Inativo,3.11
1248751,https://www.asaas.com/customerAdminConsole/show/1248751,https://www.asaas.com/documentAnalysis/show/1248751,2022-01-22T12:50:56.000-03:00,Fisica,Corporativo,Inativo,0.00
798461,https://www.asaas.com/customerAdminConsole/show/798461,https://www.asaas.com/documentAnalysis/show/798461,2020-10-15T08:49:40.000-03:00,Fisica,Corporativo,Inativo,0.00
5794408,https://www.asaas.com/customerAdminConsole/show/5794408,https://www.asaas.com/documentAnalysis/show/5794408,2025-03-14T14:00:08.000-03:00,Fisica,Empreendedor,Inativo,-1.45
6433808,https://www.asaas.com/customerAdminConsole/show/6433808,https://www.asaas.com/documentAnalysis/show/6433808,2025-08-12T13:32:54.000-03:00,Fisica,Corporativo,Inativo,0.00
6641648,https://www.asaas.com/customerAdminConsole/show/6641648,https://www.asaas.com/documentAnalysis/show/6641648,2025-10-24T13:53:19.000-03:00,Fisica,Negócios,Ativo,0.32
6896084,https://www.asaas.com/customerAdminConsole/show/6896084,https://www.asaas.com/documentAnalysis/show/6896084,2026-01-16T15:48:44.000-03:00,Fisica,Empreendedor,Inativo,-0.55
2628325,https://www.asaas.com/customerAdminConsole/show/2628325,https://www.asaas.com/documentAnalysis/show/2628325,2023-05-26T09:31:25.000-03:00,Fisica,Corporativo,Inativo,0.00
3473850,https://www.asaas.com/customerAdminConsole/show/3473850,https://www.asaas.com/documentAnalysis/show/3473850,2023-12-13T22:09:17.000-03:00,Fisica,Empreendedor,Inativo,0.00
2738605,https://www.asaas.com/customerAdminConsole/show/2738605,https://www.asaas.com/documentAnalysis/show/2738605,2023-06-29T11:52:36.000-03:00,Fisica,Corporativo,Inativo,0.00
6285539,https://www.asaas.com/customerAdminConsole/show/6285539,https://www.asaas.com/documentAnalysis/show/6285539,2025-06-15T16:07:02.000-03:00,Fisica,Empreendedor,Inativo,22.74
6321852,https://www.asaas.com/customerAdminConsole/show/6321852,https://www.asaas.com/documentAnalysis/show/6321852,2025-06-30T14:34:59.000-03:00,Fisica,Empreendedor,Inativo,-19.80
6431710,https://www.asaas.com/customerAdminConsole/show/6431710,https://www.asaas.com/documentAnalysis/show/6431710,2025-08-11T18:49:44.000-03:00,Fisica,Empreendedor,Ativo,0.00
5131100,https://www.asaas.com/customerAdminConsole/show/5131100,https://www.asaas.com/documentAnalysis/show/5131100,2024-11-27T17:12:53.000-03:00,Fisica,Negócios,Inativo,0.00
6470244,https://www.asaas.com/customerAdminConsole/show/6470244,https://www.asaas.com/documentAnalysis/show/6470244,2025-08-26T10:20:31.000-03:00,Individual,Empreendedor,Inativo,0.09
6358152,https://www.asaas.com/customerAdminConsole/show/6358152,https://www.asaas.com/documentAnalysis/show/6358152,2025-07-15T13:02:11.000-03:00,MEI,Empreendedor,Inativo,-0.55
1722426,https://www.asaas.com/customerAdminConsole/show/1722426,https://www.asaas.com/documentAnalysis/show/1722426,2022-08-23T10:25:09.000-03:00,Associação,Empreendedor,Inativo,0.00
3954665,https://www.asaas.com/customerAdminConsole/show/3954665,https://www.asaas.com/documentAnalysis/show/3954665,2024-04-30T13:50:02.000-03:00,Fisica,Empreendedor,Inativo,0.00
712183,https://www.asaas.com/customerAdminConsole/show/712183,https://www.asaas.com/documentAnalysis/show/712183,2020-06-12T13:41:40.000-03:00,Desconhecido / Não se aplica,Empreendedor,Inativo,0.00
